timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1488729286184,4,1 /addressbookv4.1.4/,200,OK,Thread Group - create address book entry 1-1,text,true,,7511,824,2,9,2,0,1
1488729285183,4,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-1,,true,,7511,824,2,9,2,1003,1
1488729286190,26,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-1,text,true,,5635,425,7,9,26,0,1
1488729285190,26,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-1,,true,,5635,425,7,9,26,1001,1
1488729286352,24,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-2,text,true,,5635,425,8,10,24,0,1
1488729285352,24,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-2,,true,,5635,425,8,10,24,1002,1
1488729286512,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-3,text,true,,5635,425,9,12,23,0,1
1488729285512,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-3,,true,,5635,425,9,12,23,1001,1
1488729286675,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-4,text,true,,5635,425,10,13,23,0,0
1488729285673,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-4,,true,,5635,425,10,13,23,1002,0
1488729286811,3,1 /addressbookv4.1.4/,200,OK,Thread Group - create address book entry 1-2,text,true,,7511,824,3,14,2,0,1
1488729285809,3,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-2,,true,,7511,824,3,14,2,1001,1
1488729286836,22,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-5,text,true,,5635,425,11,14,22,0,0
1488729285834,22,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-5,,true,,5635,425,11,14,22,1002,0
1488729286999,22,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-6,text,true,,5635,425,12,15,22,0,0
1488729285997,22,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-6,,true,,5635,425,12,15,22,1002,0
1488729287159,22,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-7,text,true,,5635,425,13,17,22,0,1
1488729286157,22,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-7,,true,,5635,425,13,17,22,1003,1
1488729287191,18,2 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-1,text,true,,3383,479,4,17,18,0,0
1488729286190,18,Address book page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-1,,true,,3383,479,4,17,18,1000,0
1488729287322,25,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-8,text,true,,5635,425,14,18,25,0,1
1488729286320,25,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-8,,true,,5635,425,14,18,25,1002,1
1488729287436,4,1 /addressbookv4.1.4/,200,OK,Thread Group - create address book entry 1-3,text,true,,7511,824,4,18,2,0,1
1488729286435,4,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-3,,true,,7511,824,4,18,2,1000,1
1488729287482,24,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-9,text,true,,5635,425,15,19,24,0,1
1488729286481,24,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-9,,true,,5635,425,15,19,24,1001,1
1488729287650,24,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-10,text,true,,5635,425,16,20,24,0,1
1488729286650,24,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-10,,true,,5635,425,16,20,24,1001,1
1488729287805,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-11,text,true,,5635,425,17,22,23,0,1
1488729286805,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-11,,true,,5635,425,17,22,23,1002,1
1488729287815,19,2 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-2,text,true,,3383,479,5,22,19,0,0
1488729286815,19,Address book page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-2,,true,,3383,479,5,22,19,1000,0
1488729287968,20,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-12,text,true,,5635,425,18,23,20,0,1
1488729286968,20,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-12,,true,,5635,425,18,23,20,1002,1
1488729288062,3,1 /addressbookv4.1.4/,200,OK,Thread Group - create address book entry 1-4,text,true,,7511,824,5,23,1,0,0
1488729287061,3,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-4,,true,,7511,824,5,23,1,1001,0
1488729288130,20,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-13,text,true,,5635,425,19,24,20,0,0
1488729287129,20,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-13,,true,,5635,425,19,24,20,1003,0
1488729288290,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-14,text,true,,5635,425,20,26,23,0,0
1488729287289,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-14,,true,,5635,425,20,26,23,1002,0
1488729288440,17,2 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-3,text,true,,3383,479,6,27,17,0,0
1488729287440,17,Address book page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-3,,true,,3383,479,6,27,17,1001,0
1488729288452,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-15,text,true,,5635,425,21,27,23,0,0
1488729287451,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-15,,true,,5635,425,21,27,23,1002,0
1488729288613,21,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-16,text,true,,5635,425,22,28,21,0,1
1488729287612,21,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-16,,true,,5635,425,22,28,21,1003,1
1488729288686,3,1 /addressbookv4.1.4/,200,OK,Thread Group - create address book entry 1-5,text,true,,7511,824,6,28,2,0,1
1488729287685,3,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-5,,true,,7511,824,6,28,2,1001,1
